station_european_code	component_code	component_caption	component_name	component_FWD	measurement_european_group_code	measurement_unit	measurement_group_start_date	measurement_group_end_date	measurement_latest_AIRBASE	measurement_european_code	measurement_start_date	measurement_end_date	measurement_automatic	measurement_technique_principle	measurement_equipment	integration_time_frequency	calibration_unit	height_sampling_point	length_sampling_line	location_sampling_point	sampling_time	sampling_time_unit	calibration_frequency	integration_time_unit	calibration_method	calibration_description
BEMBE15	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2011-09-02		2012-12-31	100	2011-09-02		no	LVS - automatic filter change 2,3 m3/h	UNKNOWN	1		2	2		0			day		
BEMBE15	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2011-09-02		2012-12-31	100	2011-09-02		no	LVS - automatic filter change 2,3 m3/h	UNKNOWN	1		2	2		0			day		
BEMEK03	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2007-02-01		2007-12-31	100	2007-02-01		no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400			0	0		0					
BEMEK03	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2007-02-01	2007-12-31	2007-12-31	100	2007-02-01	2007-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400			0	0		0					
BEMEK03	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2007-02-01	2007-12-31	2007-12-31	100	2007-02-01	2007-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400			0	0		0					
BEMEK03	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2007-02-01	2007-12-31	2007-12-31	100	2007-02-01	2007-12-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400			0	0		0					
BEMGK02	12	Pb	Lead (aerosol)	yes	100	µg/m3	1988-02-01	2003-03-31		100	1988-02-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	14	Cd	Cadmium (aerosol)	yes	100	ng/m3	1989-04-01	2003-03-31		100	1989-04-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	15	Ni	Nickel (aerosol)	yes	100	ng/m3	1988-02-01	2003-03-31		100	1988-02-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	18	As	Arsenic (aerosol)	yes	100	ng/m3	1999-01-01	2003-03-31		100	1999-01-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	3012	Pb in TSP	Lead in TSP (aerosol)	no	100	µg/m3	1988-02-01	2003-03-31	2005-12-31	100	1988-02-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	3014	Cd in TSP	Cadmium in TSP (aerosol)	no	100	ng/m3	1989-04-01	2003-03-31	2005-12-31	100	1989-04-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	3015	Ni in TSP	Nickel in TSP (aerosol)	no	100	ng/m3	1988-02-01	2003-03-31	2005-12-31	100	1988-02-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	3018	As in TSP	Arsenic in TSP (aerosol)	no	100	ng/m3	1999-01-01	2003-03-31	2005-12-31	100	1999-01-01	2003-03-31	no	X-ray fluorescence spectroscopy (XRF)	PHILIPS PW2400	1	month	2	0		0		1	day	calibration filter	
BEMGK02	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2003-01-01		2012-12-31	100	2003-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK02	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2003-01-01		2012-12-31	100	2003-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK02	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2003-01-01		2012-12-31	100	2003-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK02	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2003-01-01		2012-12-31	100	2003-01-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK03	5012	Pb in PM10	Lead in PM10 (aerosol)	no	100	µg/m3	2006-02-01		2012-12-31	100	2006-02-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK03	5014	Cd in PM10	Cadmium in PM10 (aerosol)	no	100	ng/m3	2006-02-01		2012-12-31	100	2006-02-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK03	5015	Ni in PM10	Nickel in PM10 (aerosol)	no	100	ng/m3	2006-02-01		2012-12-31	100	2006-02-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
BEMGK03	5018	As in PM10	Arsenic in PM10 (aerosol)	no	100	ng/m3	2006-02-01		2012-12-31	100	2006-02-01		no	X-ray fluorescence spectroscopy (XRF)	XRF MVS			0	0		0					
